Date ,Daily Mean Cloud Quantity (%),Daily Mean Relative Humidity (%),Daily Mean Temperature (°C),Daily Range of Temperature (°C),Daily Mean Wind Speed (km/h),Daily Total Rainfall (mm),Typhoon (Y/N)
1/1/1999,48,78,18.5,2.7,15.2,Trace,No
1/2/1999,18,66,17.8,4.5,7.8,0,No
1/3/1999,4,64,17.3,4.1,6.6,0,No
1/4/1999,2,58,17.8,5.5,7.4,0,No
1/5/1999,1,66,17,4.7,10.2,0,No
1/6/1999,8,55,17.9,5.9,5.1,0,No
1/7/1999,40,43,16.9,4.9,11,0,No
1/8/1999,35,59,15.8,4.2,13.6,0,No
1/9/1999,80,65,16.2,2.6,19.2,0,No
1/10/1999,71,66,15.9,3.4,15.8,0,No
1/11/1999,87,61,15.9,2.4,11.5,0,No
1/12/1999,99,78,11.9,5.6,11,2.4,No
1/13/1999,100,82,13,4.6,12.4,1.8,No
1/14/1999,100,78,14.4,3.8,12.1,Trace,No
1/15/1999,98,57,11.9,2.9,11.4,Trace,No
1/16/1999,88,53,13.2,4,8.7,0,No
1/17/1999,88,58,15.5,3.9,8.8,Trace,No
1/18/1999,92,75,16.5,4.7,9.5,0.3,No
1/19/1999,43,77,19.3,5.2,6.5,0,No
1/20/1999,71,81,18.5,3.3,13.5,0,No
1/21/1999,83,76,17.3,2.1,13.1,Trace,No
1/22/1999,75,74,18.3,5,17.1,Trace,No
1/23/1999,88,82,20.7,5.3,11.3,Trace,No
1/24/1999,58,84,21.1,5.5,14.3,0,No
1/25/1999,44,81,21,5.1,6.5,0,No
1/26/1999,41,79,19.3,2.9,19.8,0,No
1/27/1999,16,69,20.1,4.1,14.9,0,No
1/28/1999,48,79,21.6,5.7,8,Trace,No
1/29/1999,87,77,18.9,2,19.8,0,No
1/30/1999,65,74,18.6,2.5,21.1,0,No
1/31/1999,78,79,19.8,3.5,15.8,0,No
2/1/1999,64,82,22.4,5.1,8,Trace,No
2/2/1999,57,55,19.9,5.8,15,0,No
2/3/1999,0,29,16.3,4.6,20.7,0,No
2/4/1999,1,41,14.9,4.9,13.5,0,No
2/5/1999,5,60,15.5,3.8,19.6,0,No
2/6/1999,5,62,16.4,4.4,20.3,0,No
2/7/1999,10,66,17.8,6.2,13.5,0,No
2/8/1999,1,68,18.4,4.5,14.1,0,No
2/9/1999,14,64,18.9,4.8,17.5,0,No
2/10/1999,65,63,20.6,4.5,15.1,0,No
2/11/1999,20,66,22.2,7.2,4.8,0,No
2/12/1999,20,59,19.4,3.9,14.2,0,No
2/13/1999,21,68,17.3,3,20.8,0,No
2/14/1999,20,67,17.7,3.7,19.6,0,No
2/15/1999,14,70,18.9,4.7,15.5,0,No
2/16/1999,19,74,20,4.4,11.2,0,No
2/17/1999,76,82,19.7,3,14.2,0,No
2/18/1999,42,72,21.6,6.1,6.7,0,No
2/19/1999,94,61,16.2,5.7,11,Trace,No
2/20/1999,97,52,13.9,2.2,10,0,No
2/21/1999,88,60,14.6,3.7,7.9,0,No
2/22/1999,44,68,17,4,15.5,0,No
2/23/1999,71,79,18.7,5.2,14.2,0,No
2/24/1999,8,77,20.8,6.5,4,0,No
2/25/1999,75,85,20.3,1.9,11.2,0,No
2/26/1999,58,84,22,4.8,13.5,Trace,No
2/27/1999,66,81,22,8.6,12.3,Trace,No
2/28/1999,67,73,18.8,3.1,17.3,0,No
3/1/1999,37,72,19.7,5.4,14.4,0,No
3/2/1999,51,81,20.4,4.1,16.7,0,No
3/3/1999,38,80,22.1,6.3,13.1,0,No
3/4/1999,33,81,21.7,4.5,12.1,0,No
3/5/1999,3,81,22.4,6.6,4.5,0,No
3/6/1999,53,85,22.5,4.7,10.4,0,No
3/7/1999,54,81,23.4,4.7,7.5,0,No
3/8/1999,98,89,19.9,4.9,21.5,7.9,No
3/9/1999,97,90,20.3,2.5,20.3,0.2,No
3/10/1999,99,91,20,5.4,18.7,Trace,No
3/11/1999,97,80,15.6,2.2,12.5,0.5,No
